,RegionName,MedianListingPricePerSqft_AllHomes,MedianListingPrice_AllHomes,MedianRentalPrice_AllHomes,MedianRentalPricePerSqft_AllHomes
10726,Florida,116.185897435897,199900.0,1600.0,1.10576923076923
10778,Florida,117.996604414261,204900.0,1550.0,1.08262537846374
10830,Florida,118.294437893549,208000.0,1500.0,1.0655737704918
10882,Florida,119.047619047619,210000.0,1500.0,1.06060606060606
10934,Florida,117.722573488248,209500.0,1600.0,1.11111111111111
10986,Florida,116.650582154086,205000.0,1600.0,1.1198208286674098
11038,Florida,119.49884792626699,214900.0,1600.0,1.1363636363636398
11090,Florida,119.643671591339,215000.0,1600.0,1.1363636363636398
11142,Florida,120.18658069951701,216300.0,1600.0,1.1472275334608
11194,Florida,120.826306913997,215000.0,1595.0,1.12692763938316
11246,Florida,120.730304772858,217000.0,1575.0,1.1124401913875601
11298,Florida,121.574370340744,215000.0,1550.0,1.10216832047042
11350,Florida,122.980017376195,219900.0,1550.0,1.10441767068273
11402,Florida,125.730994152047,225000.0,1575.0,1.11394016549968
11454,Florida,123.72233623283,225000.0,1600.0,1.11538461538462
11506,Florida,123.935309973046,225000.0,1600.0,1.11764705882353
11558,Florida,126.359039190898,227999.5,1650.0,1.1578947368421102
11610,Florida,126.606334841629,229000.0,1650.0,1.17073170731707
11662,Florida,126.118795768918,229900.0,1650.0,1.1720349127182
11714,Florida,128.99896800825599,238990.0,1700.0,1.2034161490683202
11766,Florida,130.242424242424,239900.0,1650.0,1.1933174224343701
11818,Florida,132.347300061389,242000.0,1690.0,1.20401337792642
11870,Florida,135.165686366306,249000.0,1700.0,1.21849903073941
11922,Florida,136.27152988855102,249900.0,1700.0,1.21359223300971
11974,Florida,136.93479757967899,249500.0,1700.0,1.21854121377031
12026,Florida,141.221374045802,249950.0,1745.0,1.2365420936718001
12078,Florida,142.907427267609,252360.0,1750.0,1.25364453515707
12130,Florida,144.271968796423,259000.0,1725.0,1.23152709359606
12182,Florida,143.75441098039101,258730.0,1695.0,1.2036108324974901
12234,Florida,143.80258421058,259000.0,1675.0,1.19047619047619
12286,Florida,143.53259034110098,259000.0,1615.0,1.1705882352941201
12338,Florida,142.95014682643298,255000.0,1600.0,1.17081722444827
12390,Florida,145.416472778036,259900.0,1600.0,1.18864314904819
12442,Florida,147.081766917293,260000.0,1620.0,1.18898623279099
12494,Florida,148.396674584323,260900.0,1750.0,1.2869957124309799
12546,Florida,149.521282001718,264900.0,1600.0,1.1676521852042399
12598,Florida,153.67020170513598,269900.0,1629.0,1.2027491408934698
12650,Florida,155.441055310423,273990.0,1650.0,1.2195121951219499
12702,Florida,155.9,275000.0,1690.0,1.23697916666667
12754,Florida,157.329136690647,279000.0,1700.0,1.2546468401486999
12806,Florida,157.355184802331,279900.0,1700.0,1.25725338491296
12858,Florida,157.10831721469998,279900.5,1700.0,1.26721763085399
12910,Florida,157.05483672212,279999.0,1750.0,1.27917282127031
12962,Florida,157.069849012729,279900.0,1750.0,1.31030701754386
13014,Florida,157.816481069042,283990.0,1775.0,1.3119533527696798
13066,Florida,158.314350797267,279900.0,1795.0,1.32275132275132
13118,Florida,159.744408945687,284900.0,1800.0,1.3348164627363701
13170,Florida,161.331916246642,285000.0,1800.0,1.3433637829124099
